n_sessions,n_keys,n_txns,n_ops,ratio,succ_ptg,time
16,500,10000,2,20-80-0,93.97%,11022.18ms
16,500,10000,2,20-20-60,97.08%,13013.42ms
16,500,10000,2,20-40-40,96.36%,12011.61ms
16,500,10000,2,20-60-20,95.23%,15013.12ms
16,500,10000,2,20-0-80,97.5%,12010.79ms
16,500,10000,3,20-80-0,87.42%,12014.77ms
16,500,10000,3,20-20-60,91.51%,13011.29ms
16,500,10000,3,20-40-40,89.97%,10009.86ms
16,500,10000,3,20-60-20,88.7%,11011.85ms
16,500,10000,3,20-0-80,90.71%,10022.3ms
16,500,10000,4,20-80-0,81.12%,10009.48ms
16,500,10000,4,20-20-60,88.95%,11010.99ms
16,500,10000,4,20-40-40,86.98%,11010.39ms
16,500,10000,4,20-60-20,83.78%,11032.45ms
16,500,10000,4,20-0-80,91.03%,10010.81ms
16,500,10000,6,20-80-0,67.35%,10011.93ms
16,500,10000,6,20-20-60,77.42%,11009.77ms
16,500,10000,6,20-40-40,74.85%,12011.41ms
16,500,10000,6,20-60-20,71.52%,11010.31ms
16,500,10000,6,20-0-80,77.55%,10008.5ms
16,500,10000,8,20-80-0,56.94%,13013.91ms
16,500,10000,8,20-20-60,68.52%,10014.71ms
16,500,10000,8,20-40-40,65.03%,11016.09ms
16,500,10000,8,20-60-20,61.75%,12498.52ms
16,500,10000,8,20-0-80,71.31%,8011.84ms
16,500,10000,16,20-80-0,37.61%,23224.15ms
16,500,10000,16,20-20-60,40.75%,13014.59ms
16,500,10000,16,20-40-40,41.34%,12013.25ms
16,500,10000,16,20-60-20,40%,18018.52ms
16,500,10000,16,20-0-80,43.55%,10010.71ms
